id,word,definition
218,impede,hinder; get in the way of
219,stride,walk with long steps
220,boisterous,noisy; restraint
221,resuscitation,coming back to consciousness
222,concur,agree in opinion happen together
223,recitals,a number of performance of music
224,treacherous,"""not to be trusted, perfidious"""
225,indulgent,inclined to indulge
226,pilferer,"""to steal, especially in small quantities"""
227,foster,nurture; care for
228,apartheid,brutal racial discrimination
229,garrulous,too talkative
230,edify,instruct; correct morally
231,evasive,tending to evade
232,misanthrope,person who hates mankind
233,eulogy,formal praise panegyric
234,arcane,known or understood by very few
235,bogus,sham; counterfeit; not genuine
236,dexterity,skill (esp. in handling)
237,lampoon,publicly mock or ridicule
238,skit,short piece of humorous writing
239,incongruous,out of place; not in harmony or agreement
240,repulsive,causing a feeling of disgust
241,refine,make or become pure cultural
242,multifarious,varied; motley; greatly diversified
243,substantiation,giving facts to support (statement)
244,feud,bitter quarrel over a long period of time
245,indefatigability,not easily exhaustible; tirelessness
246,convoluted,complicated;coiled; twisted
247,euthanasia,easy and painless death
248,underbid,make a lower bid then somebody else
249,cognizant,being fully aware of
250,concoct,"""invent, prepare by mixing together"""
251,turquoise,greenish-blue precious stone
252,decree,order given by authority
253,irate,angry
254,frantic,wildly excited with joy; pain; anxiety
255,alcove,recess/partially enclosed place
256,reverent,feeling or showing deep respect
257,derogatory,insulting; tending to damage
258,fawn,To seek favor or attention by flattery and obsequious
259,miser,person who loves wealth and spends little
260,valiant,brave
261,pervade,spread through every part of
262,tarnished,lost brightness
263,irrevocable,final and unalterable
264,imminent,likely to come or happen soon
265,soggy,heavy with water
266,savor,taste flavor something
267,wanton,unrestrained; willfully malicious; unchaste
268,unearth,discover and bring to light
269,hoax,mischievous trick played to deceive
270,voluptuous,arousing sensual pleasures
271,earthenware,dishes made of baked clay
272,suppress,prevent from being known put an end to
273,vindictive,having a desire to revenge
274,defiance,open disobedience or resistance
275,pinch,be too tight take between the thumb and finger
276,coalescing,coming together and uniting into one substance
277,gust,outburst of feeling; sudden rain wind fire etc.
278,candid,frank; straight-forward
279,warmonger,person who stirs up war
280,wince,show bodily or mental pain
281,loquacious,talkative; garrulous
282,gush,burst out suddenly/talk ardently
283,swerve,change direction suddenly
284,peccadillo,small sin small weakness in one's character
285,precursory,preliminary; anticipating
286,plunge,move quickly suddenly and with force
287,counterfeit,forgery
288,revere,have deep respect for
289,torment,severe pain or suffering
290,exculpate,to clear from a charge of guilt
291,abraded,rubbed off; worn away by friction
292,squander,spend wastefully
293,quandary,state of doubt or perplexity
294,dawdler,person who is slow waste of time
295,noxious,harmful
296,compunction,feeling of regret for one's action
297,deplete,use until none remains
298,coerce,compel to force to make obedient
299,recompense,make payment to reward punish
300,proliferate,grow reproduce by rapid multification
301,polemic,a controversial argument / a person engaged in such an argument
302,personable,pleasing in appearance attractive
303,punitive,Punishing
304,reciprocity,granting of privileges in return for similar
305,antithetical,direct opposing
306,holster,leather case for a pistol
307,stifled,"""suppressed, kept back"""
308,aseptic,surgically clean
309,propagation,increasing the number; spreading; extending
310,hapless,unlucky
311,implacable,incapable of being placated; unpleasable
312,ineptitude,quality of being unskillful
313,distraught,distracted violently upset in mind
314,vigilance,watchfulness self-appointed group who maintain order
315,condense,increase in density strength make laconic
316,forestall,prevent by taking action in advance; preempt
317,stipulate,state or put forward as a necessary condition
318,diabolical,having the qualities of a devil
319,provoke,make angry vax
320,lustrous,being bright; polished
321,lament,show feeling of great sorrow
322,plummet,fall plunge steeply
323,subpoena,written order requiring a person to appear in a low court
324,accrue,accumulate
325,extol,to praise highly
326,vitriolic,corrosive; sarcastic
327,idolatry,excessive admiration of
328,soot,black powder in smoke
329,valorous,brave
330,illicit,unlawful; forbidden
331,apropos,by the way
332,haughty,arrogant; conceited
333,aversion,strong dislike
334,floe,a sheet of floating ice
335,complaisance,tending to comply obliging willingness to please
336,supersede,take the place of
337,apprehensive,grasping understanding fear unhappy feeling about future
338,latent,present but not yet active; developed or visible
339,viscous,sticky/semi-fluid
340,topple,be unsteady and overturn
341,deviance,being different in moral standards (from normal)
342,concord,agreement or harmony
343,pristine,primitive unspoiled pure as in earlier times unadulterated
344,enunciate,pronounce (words)/express a theory
345,inept,unskillful; said or done at the wrong time
346,variegate,To mark with different shade or colors
347,malevolence,wishing to do evil
348,entangle,put into difficulties
349,impediment,something that hinders (e.g. stammer)
350,undermine,weaken gradually at the base make something under
351,slack,sluggish; dull; not tight
352,calisthenics,exercises to develop strong bodies
353,regicide,crime of killing a king
354,palate,roof of the mouth; sense of taste
355,arduous,steep difficult ascent; laborious
356,prevalent,common
357,recluse,person who lives alone and avoids people
358,pungency,sharpness stinging quality
359,placate,soothe pacify calm
360,tamper,interfere with
361,iconoclast,person who attacks popular beliefs
362,hush,make or become silent
363,frugal,careful; economical
364,felon,person guilty of murder
365,shun,keep away from avoid
366,finesse,delicate way of dealing with a situation
367,whimsical,full of odd and fanciful ideas
368,bigot,stubborn; narrow-minded person
369,aloof,reserved; indifferent
370,indomitable,not easily discouraged or subdued
371,imperative,urgent; essential
372,smolder,burn slowly without flame
373,muffler,cloth worn round the neck; silencer
374,perilous,dangerous
375,apprise,give notice to inform
376,dismal,sad; gloomy; miserable
377,trickle,flow in drops
378,enthral,"""take the whole attention, enslave"""
379,disencumber,free from encumbrance
380,impending,imminent; about to happen; expected
381,lavish,giving or producing freely liberally or generously
382,stickler,person who insists on importance of something
383,avow,admit; declare openly
384,stigma,mark of shame or disgrace
385,mendacious,lying; habitually dishonest
386,indulge,gratify; give way to satisfy allow oneself
387,castigation,severe punishment
388,deter,discourage hinder
389,vehemence,forcefulness
390,benevolence,wish or activity in doing good
391,gist,the point general sense
392,incredulous,skeptical; unwilling to believe
393,squat,crouch/settle without permission
394,exuberance,state of growing vigorously being full of life
395,soar,rise fly high
396,tenacity,firmness persistency adhesiveness tending to hang on
397,incessant,Constant
398,procrastination,keeping on putting off
399,conciliatory,reconciling; soothing; comforting; mollifying
400,subdue,overcome bring under control
401,transient,temporary fleeting
402,tassel,bunch of threads
403,apostate,one who abandons long-held religious or political convictions
404,engrave,impress deeply
405,berate,scold sharply
406,connotation,suggestion in addition to
407,flaunting,show off complacently
408,empirical,relying on experiment
409,impair,worsen; diminish in value
410,immaculate,pure; faultless
411,pillage,plunder (especially in war)
412,extrovert,cheerful person
413,prone,prostrate; inclined to (undesirable things)
414,astute,clever quick at seeing to get an advantage
415,coy,shy/modest (especially of a girl)
416,truce,(agreement) stop of fighting for a time
417,precepts,rules establishing standards of conduct
418,exorbitant,much too high or great
419,mollify,make calmer or quieter
420,incorrigibility,cannot be cured or corrected
421,taciturn,"""unspoken, silent"""
422,sober,self-controlled
423,approbation,approval
424,conviction,convincing firm belief
425,castigate,to chastise; correct by punishing
426,bolster,give greatly needed support
427,efface,"""rub or wipe out, obliterate"""
428,vex,annoy distress trouble
429,fallacious,based on error
430,flamboyant,brightly colored; florid
431,nonchalant,not having interest
432,gorge,eat greedily/narrow opening with a stream
433,poncho,large piece of cloth
434,grandiloquent,using pompous words
435,pitfall,covered hole as a trap unsuspected danger
436,coddle,treat with care and tenderness
437,impassive,unmoved; feeling no sign of passion
438,lull,become quiet or less active
439,curtail,make shorter then was planned
440,perch,take up a high position
441,inscrutable,incapable of being discovered or understood
442,shrill,sharp; piercing
443,prudence,careful forethought
444,cohort,a group or band of people
445,boorish,crude; rude
446,timorous,fearful timid afraid
447,imperturbable,calm not capable of being excited
448,arboreal,of connected with trees
449,rescind,repeal/annul/cancel
450,intersperse,place here and there
451,oblivious,unaware; having no memory
452,ignoble,not noble; inferior
453,espouse,To take in marriage
454,sagacious,having sound judgment; perceptive; wise like a sage
455,nebulous,cloud-like; hazy; vague; indistinct
456,disseminate,distribute (esp. ideas)
457,bask,in enjoy warmth and light
458,heed,attention/give notice to
459,precarious,uncertain risky dangerous
460,incise,engrave; make a cut in
461,endearing,making dear or liked
462,ebullient,overflowing with enthusiasm showing excitement
463,inferno,hell
464,palpitate,tremble beat rapidly and irregularly
465,fluke,lucky; stroke
466,fluster,make nervous or confused
467,graze,touch or scrape lightly in passing
468,laudatory,expressing or giving praise
469,matriculation,be admitted enter a university as a student
470,susceptibility,sensitiveness
471,embellish,make beautiful
472,ominous,threatening
473,ostracism,shut out from society refuse to meet talk
474,divulge,make known something secret
475,pliant,easily bent
476,maverick,rebel; nonconformist
477,malapropism,misuse of a word (for one that resembles it)
478,quell,suppress subdue
479,extort,obtain by threats violence
480,cling,to resist separation
481,sidestep,step to one side
482,dubious,feeling doubt
483,irascible,irritable; easily angered
484,fidget,move restlessly make nervous
485,epitome,brief summary representative example a typical model
486,corroboration,additional strengthening evidence
487,garner,to gather and save to store up
488,ambrosial,extremely pleasing to taste
489,ferocity,savage cruelty
490,expurgate,to remove obscenity purify censor
491,cantankerous,bad-tempered/quarrelsome
492,arabesque,a complex ornate design
493,attune,bring into harmony
494,chaste,pure
495,efficacy,production of a desired result
496,rift,split crack dissension
497,palpability,can be felt or touched
498,veer,change direction
499,insensible,unconscious; unresponsive; unaffected
500,gourmand,a person who is devoted to eating and drinking to excess
501,plead,address a court of law as an advocate
502,morbid,diseased; unhealthy (e.g.. about ideas)
503,enmity,hatred being an enemy
504,impervious,not allowing to pass through (of materials)
505,feral,Existing in a wild or untamed state
506,convoke,call together summon
507,breach,opening; broken place; breaking
508,credulous,ready to believe things
509,Conduce,To bring about
510,superfluous,more then is needed or wanted
511,daunt,intimidate make fearful
512,trudge,walk heavily
513,mephitic,Poisonous; noxious
514,equipoise,equal distribution of weight equilibrium
515,chastisement,punishment
516,thrift,care economy thriving prosperous
517,rarefy,to make thin to make less dense to purify or refine
518,neophyte,person who has been converted to a belief
519,benign,kind and gentle
520,dissent,have a different opinion refuse to assent
521,lackluster,(of eyes) dull
522,veneration,regard with deep respect
523,fret,worry; irritation; wear away
524,pious,dutiful to parents; devoted to religion
525,impiety,lack of reverence or dutifulness
526,rave,act with excessive enthusiasm
527,heresy,belief contrary to what is generally accepted
528,frenetic,frantic; frenzied
529,disheveled,untidy
530,scalding,hot enough to boil
531,guile,deceit; cunning
532,irresolute,hesitating; undecided
533,telltale,That gives warning or information
534,temperate,showing self-control
535,chicanery,legal trickery/false argument
536,grave,serious requiring; consideration
537,blas?,bored with pleasure or dissipation
538,exoneration,set someone clear (e.g.. from blame)
539,hoodwink,trick; mislead
540,tawdry,cheap gaudy showy tacky
541,debacle,a breakup overthrow sudden disaster
542,striated,striped grooved or banded
543,feckless,lacking purpose or vitality ineffective careless
544,reticence,uncommunicativeness
545,resilience,quality of quickly recovering the original shape
546,contentious,argumentative pugnacious combative quarrelsome
547,ardor,enthusiasm
548,disdain,look on with contempt
549,cajole,use flattery or deceit to persuade
550,glimmer,weak/unsteady light
551,jocular,meant as a joke
552,taunt,contemptuous reproach hurtful remark
553,conundrum,a riddle dilemma enigma
554,incite,stir up; rouse
555,terse,brief and to the point
556,abeyance,suspended action
557,drawl,slow way of speaking
558,myriad,very great number
559,apotheosis,deification glorification to godliness
560,guileless,honest; straightforward
561,alacrity,eager and cheerful; readiness
562,clinch,come to grips/settle conclusively
563,clamor,shout complain with a lot of noise
564,falter,waver/move in an uncertain manner
565,nexus,a connection or link
566,inimitable,defying; imitation; unmatchable
567,ale,fermented alcoholic beverage similar to but heavier than beer
568,ulterior,situated beyond
569,jagged,notched
570,sash,long strip worn round the waist
571,recant,take back as being FALSE give up
572,decorum,propriety properness
573,abet,help/encourage somebody (in doing wrong)
574,sever,break off
575,render,deliver provide represent
576,discreet,careful/prudent
577,itinerate,to travel from place to place to peregrinate
578,innocuous,causing no harm
579,ruffian,violent cruel man
580,abrogate,repeal or annul by authority
581,tepid,lukewarm
582,talon,claw of a bird of prey
583,quiescence,state of being passive/motionless
584,exhaustive,complete; thorough
585,flinch,draw; move back; wince
586,sodden,soaked; saturated
587,crush,press lose shape subdue overwhelm
588,insurrection,rising of people to open resistance to
589,ossify,to turn to bone to settle rigidly into an idea
590,doleful,dismal; mourful
591,quack,person dishonestly claiming to something
592,commodious,having plenty of space for what is needed
593,intrepid,fearless; brave; undaunted
594,emaciate,make thin and weak
595,pariah,an outcast a rejected and despised person
596,unfeigned,not pretended sincere
597,fixate,stare at
598,prim,neat; formal
599,thwart,obstruct/frustrate
600,preternatural,not normal or usual
601,vilify,slander say evil things
602,transgress,break go beyond (a limit)
603,hegemony,predominance
604,insinuate,suggest unpleasantly; make a way for something gently
605,recast,cast or fashion anew
606,intransigence,unwillingness to compromise stubbornness intractability
607,servile,like a slave lacking independence
608,infuse,put; pour; fill
609,engrossing,taken up all the time or attention writing in large or formal
610,heinous,odious (of crime)
611,covert,disguised
612,fracas,noisy; quarrel
613,sketchy,"""shortly, roughly, quickly"""
614,putrefaction,becoming rotten
615,ubiquitous,present everywhere
616,assuage,make something (pain desire) less
617,sycophant,person who flatter to the rich and powerful
618,ebullience,exuberance outburst of feeling
619,colander,bowl-shaped vessel with many holes used to drain off water
620,festoon,a decorative chain or strip hanging between two points
621,cower,crouch shrink back
622,proclivity,inclination
623,assail,attack violently
624,maul,hurt by rough handling
625,forfeit,suffer the loss of something
626,urbane,elegant refined in manners
627,quixotic,"""fanciful, fantastic, imaginary"""
628,burnish,to polish; rub to a shine
629,equivocal,having a double or doubtful meaning; suspicious
630,stingy,spending using unwillingly
631,inadvertent,not paying proper attention
632,austere,severely moral and strict simple and plain
633,penury,extreme poverty
634,gnaw,waste away; bite steadily
635,torpid,dull and slow
636,occluded,blocked up
637,provisional,of the present time only
638,ire,anger
639,engender,cause produce give rise to
640,rotund,rich and deep; plump and round
641,wean,to turn away (from a habit)
642,profuse,abundant/lavish
643,savant,person of great learning
644,ruddy,"""reddish, healthy-looking"""
645,beatify,to bless; make happy or ascribe a virtue to
646,vain,without use result conceited
647,pry,get something inquire too curiously
648,enervate,weaken deprive of strength attenuate
649,adamant,kind of stone; inflexible
650,puerile,childish
651,glut,supply to much fill to excess
652,equivocate,try to deceive by equivocal language
653,crease,line made by crushing white line on the ground in cricket
654,ascertain,get to know
655,splice,join (two ends)
656,discrete,distinct
657,reticent,reserved; untalkative; silent; taciturn
658,sting,something sharp
659,dynamo,a generator something that produces electric current
660,penitent,feeling or showing regret
661,dirge,a song of grief or lamentation
662,elegy,a lament a melancholy composition
663,retinue,following; attendants
664,stolid,showing no emotion impassive
665,effrontery,boldness impudence arrogance
666,cogitate,think deeply mediate
667,obtuse,blunt/stupid
668,dissolution,disintegration looseness in morals
669,indolence,laziness
670,privation,hardship
671,consummate,perfect/make; perfect/complete
672,paucity,scarcity a lacking of
673,diatribe,bitter and violent attack in words
674,pyre,large pile of wood for burning
675,derision,ridicule mockery deriding
676,pusillanimous,cowardly; craven
677,erudite,learned; scholarly
678,churlish,(adj) boorish
679,pulchritude,Physical beauty
680,corporeal,physical of or for the body
681,mercurial,quick changeable in character fleeting
682,streak,long thin move very fast
683,insularity,narrow-mindedness; isolated
684,pedestrian,commonplace trite unremarkable
685,equable,steady; regular
686,decry,disapprove of
687,coeval,of the same period; coexisting
688,penchant,strong inclination a liking
689,admonitory,containing warning
690,onus,"""responsilibilty,burden"""
691,vanquish,conquer
692,nascent,coming into existence; emerging
693,luculent,easily understood; lucid; clear
694,secular,material (not spiritual) living outside monasteries
695,auspicious,favorable successful prosperous
696,palliate,lessen the severity of
697,extirpate,to destroy exterminate cut out exscind
698,dearth,shortage
699,recidivism,relapse into antisocial or criminal behavior
700,pellucid,transparent easy to understand
701,baneful,causing harm or ruin; pernicious; destructive
702,cogent,strong; convincing
703,lurk,be out of view ready to attack
704,condone,forgive
705,discredit,refuse to believe
706,assiduous,diligent hard-working; sedulous
707,covetous,eagerly desirous
708,accretion,the growing of separate things into one
709,foray,to venture
710,lumber,move in a clumsy/noisy way
711,coda,passage that completes a piece of music
712,indelible,that cannot be rubbed out
713,cornucopia,abundant supply
714,elicit,draw out
715,veneer,surface appearance covering the TRUE nature
716,serration,having a toothed edge
717,deprave,make morally bad;corrupt
718,dainty,pretty/delicate(food)/difficult to please
719,petrify,to make hard rocklike
720,odious,repulsive; hateful
721,fledgling,an inexperienced person.
722,dilate,speak comprehensively become wider large
723,censure,expression of blame or disapproval a rebuke
724,denigrate,blacken; belittle; sully; defame
725,highbrow,(person) with superior tastes
726,tocsin,"""a signal, especially of alarm"""
727,inane,silly; senseless
728,tyro,a beginner
729,duplicity,deliberate deception
730,chauvinist,a blindly devoted patriot
731,caustic,biting sarcastic
732,turbid,muddy having the sediment stirred up
733,protracted,prolonged
734,taut,tightly stretched
735,interim,as an installment
736,abjure,promise or swear to give up
737,prevaricate,to equivocate to stray from the truth
738,punctilious,Meticulous
739,inundate,flood cover by overflowing
740,ignominious,shameful; dishonorable; undignified; disgraceful
741,avid,eager; greedy
742,bellicose,inclined to fighting
743,plaque,flat metal on a wall as a memorial
744,malign,to speak harmful untruths about someone
745,sanctimony,self-righteousness hypocritical with FALSE piety
746,consume,get to the end of
747,ingenuous,naive; young; artless; frank; honest; sincere
748,lien,legal claim until a debt on it is repaid
749,veracity,truth
750,snub,treat with contempt
751,attenuate,make thin; weaken; enervate
752,inimical,harmful or unfriendly
753,phlegmatic,calm; sluggish; temperament; unemotional
754,barren,not good enough; unable to have young ones without value
755,exigency,emergency an urgent situation
756,finagle,to practice deception or fraud; scheme.
757,florid,very much ornamented naturally red (e.g.. of face)
758,libel,statement that damages reputation
759,credulity,too great a readiness to believe things
760,aver,affirm; assert; prove; justify
761,dud,no use person something that fails
762,forbearance,patience; willingness to wait
763,idiosyncrasy,personal mannerism
764,chagrin,vexation
765,obdurate,hardened and unrepenting; stubborn; inflexible
766,waft,scent waving movement carry lightly through
767,conceit,over-high opinion of too much pride
768,volubility,fluency verbosity easy use of spoken language
769,resigned,unresistant; submissive
770,facile,easily done
771,contiguous,touching neighboring near
772,verisimilitude,appearing TRUE or real
773,husk,worthless; outside part of anything
774,pernicious,harmful; injurious
775,fringe,edge ornamental border part of hair over the forehead
776,somatic,of the body
777,abut,border on
778,chastened,corrected punished
779,coax,get somebody to do something by kindness
780,incursion,a raid; a sudden attack
781,repudiate,disown refuse to accept or pay
782,dolt,stupid fellow
783,parley,negotiation
784,effluvia,outflow in a stream of particles a noxious odor or vapor
785,insipid,without taste or flavor
786,jejune,insubstantial/dull/immature
787,penurious,poor/stingy
788,obfuscate,to darken; make obscure; muddle
789,preclude,prevent make impossible
790,defalcate,(v) to embezzle or misappropriate
791,disingenuous,sophisticated artful trying to deceive cunning
792,encumbrance,burden things that get on the way of
793,quirk,habit or action peculiar to something
794,obtain,to be established accepted or customary
795,gloat,over look at with selfish delight
796,morose,ill-tempered; unsocial
797,scorch,become discolored/dry up/go at high speed
798,foil,prevent from carrying out
799,perpetrate,be guilty commit (a crime)
800,regale,to delight or entertain to feast
801,disparate,essentially different
802,extempore,without previous thought or preparation
803,Palpable,Obvious
804,malinger,to fake illness or injury in order to shirk a duty
805,discern,see with an effort but clearly
806,pundit,pedant authority on a subject
807,Pastiche,work (usually artistic) which imitates
808,transitory,brief
809,extant,still in existence
810,salubrious,healthful
811,waffle,talk vaguely and without much result
812,deluge,great flood heavy rush of water
813,ascribe,consider to be the origin of or belonging to
814,perfunctory,done as a duty without care
815,squalid,foul filthy
816,sullied,to be stained or discredited
817,mundane,worldly as opposed to spiritual commonplace everyday
818,exscind,to cut out cut away
819,grouse,Complain or grumble (verb)
820,lachrymose,causing tears; tearful
821,visceral,of the internal organs of the body
822,grovel,crawl; humble oneself
823,temerity,boldness brashness intrepidness
824,collusion,secret agreement for a deceitful purpose
825,extenuate,reduce the strength of lessen seriousness partially excuse
826,bandy,discuss lightly or glibly; exchange (words) heatedly
827,undulate,to move in wavelike fashion fluctuate
828,harbinger,One that indicates or foreshadows what is to come; a forerunner.
829,evince,to show clearly to indicate
830,fagged,too tired
831,shrewd,astute; showing sound judgement
832,hollow,not soled with hole
833,conspicuous,easily seen remarkable
834,august,majestic; venerable
835,rife,widespread
836,snare,trap
837,ascetic,practicing self-denial; austere; stark
838,rancorous,feeling bitterness; spitefulness
839,mellifluous,sweetly flowing
840,levity,lack of seriousness
841,moot,open to discussion or debate; doubtful
842,gaucherie,socially awkward; tactless behavior
843,macabre,gruesome; suggesting death
844,amortize,end (a debt) by setting aside money
845,delineate,to portray depict sketch out
846,finical,too fussy about food clothing etc.
847,obviate,to make unnecessary get rid of
848,paean,song of praise or triumph
849,emote,stir up excite
850,nadir,lowest; weakest point
851,congeal,make or become stiff and solid
852,uncouth,rough awkward
853,verve,spirit vigor enthusiasm
